"rr3";"temps_present";"tc";"pres";"dd";"ww";"cod_tend";"ff";"date";"n"
0.6;"Nuages en formation ou en train de se développer";7.10000000000002;99990;220;3;3;4.1;2013-12-31 21:00:00;100
2;"Pluie, sans congélation, intermittente, faible au moment de l’observation";6.60000000000002;99870;200;60;3;3.1;2013-12-31 18:00:00;100
0;"État du ciel inchangé dans l’ensemble";8.80000000000001;99830;170;2;6;3.6;2013-12-31 15:00:00;90
0;"Nuages en formation ou en train de se développer";8;100050;180;3;8;5.1;2013-12-31 12:00:00;90
0;"État du ciel inchangé dans l’ensemble";6;100310;170;2;6;3.6;2013-12-31 09:00:00;90
0.2;"On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution";5.60000000000002;100430;180;0;6;3.6;2013-12-31 06:00:00;90
0;"État du ciel inchangé dans l’ensemble";5.80000000000001;100610;190;2;7;3.1;2013-12-31 03:00:00;90
0;"Nuages en formation ou en train de se développer";5.90000000000003;100770;190;3;8;3.6;2013-12-31 00:00:00;90
0;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";5.5;100890;200;1;8;3.6;2013-12-30 21:00:00;25
1;"Nuages en formation ou en train de se développer";5.90000000000003;100900;190;3;5;3.6;2013-12-30 18:00:00;90
0.2;"Pluie, sans congélation, continue, faible au moment de l’observation";6.20000000000005;100910;190;61;5;4.6;2013-12-30 15:00:00;90
0;"État du ciel inchangé dans l’ensemble";6.10000000000002;101020;190;2;8;5.1;2013-12-30 12:00:00;90
0;"État du ciel inchangé dans l’ensemble";3.70000000000005;101190;180;2;8;5.7;2013-12-30 09:00:00;75
0;"État du ciel inchangé dans l’ensemble";2.10000000000002;101290;180;2;6;3.6;2013-12-30 06:00:00;60
0;"État du ciel inchangé dans l’ensemble";1.60000000000002;101430;180;2;6;3.1;2013-12-30 03:00:00;0
0;"État du ciel inchangé dans l’ensemble";2.10000000000002;101520;190;2;2;3.6;2013-12-30 00:00:00;0
0;"État du ciel inchangé dans l’ensemble";3.40000000000003;101470;190;2;1;2.6;2013-12-29 21:00:00;40
0;"État du ciel inchangé dans l’ensemble";5.40000000000003;101390;190;2;3;2.6;2013-12-29 18:00:00;10
0;"État du ciel inchangé dans l’ensemble";9.10000000000002;101160;240;2;3;3.1;2013-12-29 15:00:00;40
0;"État du ciel inchangé dans l’ensemble";8.30000000000001;100950;280;2;1;3.1;2013-12-29 12:00:00;25
0;"État du ciel inchangé dans l’ensemble";4.30000000000001;100740;240;2;3;4.1;2013-12-29 09:00:00;50
0;"État du ciel inchangé dans l’ensemble";5;100350;260;2;3;4.6;2013-12-29 06:00:00;90
0;"État du ciel inchangé dans l’ensemble";4.90000000000003;100120;210;2;3;3.6;2013-12-29 03:00:00;90
0;"État du ciel inchangé dans l’ensemble";5;99970;220;2;1;4.1;2013-12-29 00:00:00;50
0;"État du ciel inchangé dans l’ensemble";5.40000000000003;99810;210;2;2;4.6;2013-12-28 21:00:00;40
0;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";5.40000000000003;99590;230;1;3;3.6;2013-12-28 18:00:00;60
0;"Pluie (ne se congelant pas)";7.20000000000005;99330;250;21;3;1.5;2013-12-28 15:00:00;90
0;"État du ciel inchangé dans l’ensemble";8.80000000000001;99180;250;2;1;1.5;2013-12-28 12:00:00;90
0;"État du ciel inchangé dans l’ensemble";6.90000000000003;99070;270;2;3;2.1;2013-12-28 09:00:00;75
3;"Pluie (ne se congelant pas)";7.60000000000002;98810;270;21;3;1.5;2013-12-28 06:00:00;90
3;"Pluie, sans congélation, continue, modérée au moment de l’observation";10.5;98580;200;63;6;4.6;2013-12-28 03:00:00;100
0.4;"Pluie, sans congélation, intermittente, faible au moment de l’observation";11.3;98620;200;60;8;7.2;2013-12-28 00:00:00;100
2;"Pluie, sans congélation, continue, faible au moment de l’observation";12.1;98710;210;61;0;7.7;2013-12-27 21:00:00;100
0;"Pluie, sans congélation, intermittente, faible au moment de l’observation";12.1;98700;210;60;3;7.2;2013-12-27 18:00:00;90
0;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";12.6;98630;210;1;5;7.7;2013-12-27 15:00:00;90
0;"État du ciel inchangé dans l’ensemble";11.1;98720;210;2;8;7.7;2013-12-27 12:00:00;100
0;"Pluie, sans congélation, intermittente, faible au moment de l’observation";8.5;98840;200;60;6;7.7;2013-12-27 09:00:00;100
0.4;"Nuages en formation ou en train de se développer";7.40000000000003;98940;200;3;8;8.2;2013-12-27 06:00:00;100
0.4;"Pluie, sans congélation, continue, faible au moment de l’observation";5.80000000000001;99230;200;61;8;6.2;2013-12-27 03:00:00;100
0;"État du ciel inchangé dans l’ensemble";4.30000000000001;99440;200;2;6;4.6;2013-12-27 00:00:00;90
0;"État du ciel inchangé dans l’ensemble";4;99560;200;2;0;3.6;2013-12-26 21:00:00;10
0;"État du ciel inchangé dans l’ensemble";5.10000000000002;99490;230;2;3;3.1;2013-12-26 18:00:00;0
0;"État du ciel inchangé dans l’ensemble";8.70000000000005;99240;260;2;3;3.6;2013-12-26 15:00:00;25
0;"État du ciel inchangé dans l’ensemble";7.90000000000003;98970;290;2;1;5.1;2013-12-26 12:00:00;50
0;"État du ciel inchangé dans l’ensemble";4;98760;260;2;3;2.6;2013-12-26 09:00:00;40
0;"État du ciel inchangé dans l’ensemble";4.70000000000005;98440;220;2;3;1.5;2013-12-26 06:00:00;90
0;"État du ciel inchangé dans l’ensemble";5.30000000000001;98240;220;2;1;2.1;2013-12-26 03:00:00;90
0;"Nuages en formation ou en train de se développer";5.30000000000001;98010;200;3;3;3.1;2013-12-26 00:00:00;75
0.8;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";5.80000000000001;97970;190;1;4;2.1;2013-12-25 21:00:00;90
0;"Nuages en formation ou en train de se développer";6.20000000000005;97970;140;3;4;2.6;2013-12-25 18:00:00;90
0;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";8.60000000000002;97980;170;1;6;3.1;2013-12-25 15:00:00;75
0;"Averse(s) de pluie, faible(s)";8.20000000000005;98000;180;80;0;3.6;2013-12-25 12:00:00;90
0;"État du ciel inchangé dans l’ensemble";6.90000000000003;98000;190;2;8;1.5;2013-12-25 09:00:00;60
0;"Nuages en formation ou en train de se développer";7.30000000000001;98040;200;3;3;2.6;2013-12-25 06:00:00;90
0;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";8.20000000000005;97880;230;1;1;5.1;2013-12-25 03:00:00;90
6;"Pluie, sans congélation, intermittente, faible au moment de l’observation";9.70000000000005;97620;230;60;5;6.2;2013-12-25 00:00:00;90
5;"Pluie, sans congélation, continue, modérée au moment de l’observation";9.60000000000002;97640;190;63;8;4.1;2013-12-24 21:00:00;100
3;"Pluie, sans congélation, continue, faible au moment de l’observation";8.70000000000005;97940;190;61;2;3.6;2013-12-24 18:00:00;100
0.6;"Pluie, sans congélation, continue, faible au moment de l’observation";11;97880;200;61;6;8.7;2013-12-24 15:00:00;100
1;"Pluie, sans congélation, intermittente, faible au moment de l’observation";10.4;98070;200;60;8;10.3;2013-12-24 12:00:00;100
3;"Pluie, sans congélation, intermittente, faible au moment de l’observation";9.80000000000001;98230;190;60;7;11.3;2013-12-24 09:00:00;100
0.6;"Pluie, sans congélation, continue, faible au moment de l’observation";9.40000000000003;98460;200;61;6;10.3;2013-12-24 06:00:00;100
0;"État du ciel inchangé dans l’ensemble";10.6;98690;200;2;6;10.3;2013-12-24 03:00:00;100
0;"État du ciel inchangé dans l’ensemble";11.2;98980;200;2;8;8.7;2013-12-24 00:00:00;90
0;"État du ciel inchangé dans l’ensemble";10.8;99280;190;2;8;8.2;2013-12-23 21:00:00;100
0;"État du ciel inchangé dans l’ensemble";11.5;99550;190;2;6;9.3;2013-12-23 18:00:00;90
0;"État du ciel inchangé dans l’ensemble";11.8;99910;200;2;6;8.2;2013-12-23 15:00:00;90
0;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";10.6;100290;200;1;8;8.2;2013-12-23 12:00:00;90
0;"État du ciel inchangé dans l’ensemble";8.80000000000001;100640;200;2;6;6.2;2013-12-23 09:00:00;90
0;"État du ciel inchangé dans l’ensemble";8.10000000000002;100840;200;2;6;4.6;2013-12-23 06:00:00;90
0;"État du ciel inchangé dans l’ensemble";6.80000000000001;100980;200;2;0;2.6;2013-12-23 03:00:00;90
0;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";7.5;100980;210;1;0;3.6;2013-12-23 00:00:00;25
3;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";8.70000000000005;100900;220;1;1;4.6;2013-12-22 21:00:00;50
6;"Pluie (ne se congelant pas)";9.60000000000002;100740;230;21;1;5.7;2013-12-22 18:00:00;60
0;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";10.1;100650;210;1;6;7.2;2013-12-22 15:00:00;90
0;"État du ciel inchangé dans l’ensemble";9;100780;220;2;8;7.2;2013-12-22 12:00:00;100
0.2;"Pluie, sans congélation, intermittente, faible au moment de l’observation";8.40000000000003;100830;210;60;8;7.7;2013-12-22 09:00:00;100
0;"État du ciel inchangé dans l’ensemble";7.90000000000003;100890;210;2;8;5.7;2013-12-22 06:00:00;100
0;"État du ciel inchangé dans l’ensemble";7.10000000000002;101000;210;2;6;6.2;2013-12-22 03:00:00;100
0.2;"Pluie (ne se congelant pas)";5.30000000000001;101040;210;21;8;7.7;2013-12-22 00:00:00;100
0;"État du ciel inchangé dans l’ensemble";6.40000000000003;101080;210;2;6;6.2;2013-12-21 21:00:00;100
0;"On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution";5.20000000000005;101240;200;0;6;5.1;2013-12-21 18:00:00;NA
0;"État du ciel inchangé dans l’ensemble";6.60000000000002;101340;200;2;8;6.2;2013-12-21 15:00:00;90
0;"État du ciel inchangé dans l’ensemble";6;101530;190;2;8;5.1;2013-12-21 12:00:00;90
0;"On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution";4.60000000000002;101800;200;0;5;5.1;2013-12-21 09:00:00;75
0;"État du ciel inchangé dans l’ensemble";4.5;101800;190;2;8;4.6;2013-12-21 06:00:00;90
0;"On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution";4;101930;190;0;8;4.6;2013-12-21 03:00:00;100
0;"État du ciel inchangé dans l’ensemble";3.60000000000002;102030;190;2;8;3.6;2013-12-21 00:00:00;60
0;"État du ciel inchangé dans l’ensemble";3.90000000000003;102080;200;2;1;3.1;2013-12-20 21:00:00;10
0;"État du ciel inchangé dans l’ensemble";5;102000;200;2;0;3.6;2013-12-20 18:00:00;10
0;"État du ciel inchangé dans l’ensemble";8.20000000000005;101920;220;2;2;3.1;2013-12-20 15:00:00;40
0;"État du ciel inchangé dans l’ensemble";7.5;101780;240;2;1;4.1;2013-12-20 12:00:00;25
0;"État du ciel inchangé dans l’ensemble";3.60000000000002;101530;210;2;1;2.1;2013-12-20 09:00:00;0
0;"État du ciel inchangé dans l’ensemble";2.20000000000005;101130;240;2;3;3.1;2013-12-20 06:00:00;0
0;"État du ciel inchangé dans l’ensemble";3.90000000000003;100730;220;2;3;1;2013-12-20 03:00:00;75
0;"État du ciel inchangé dans l’ensemble";3.5;100460;200;2;3;2.6;2013-12-20 00:00:00;90
0;"État du ciel inchangé dans l’ensemble";3.80000000000001;100220;180;2;3;2.6;2013-12-19 21:00:00;60
0;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";5.5;100040;200;1;1;2.6;2013-12-19 18:00:00;0
0;"État du ciel inchangé dans l’ensemble";8.5;99870;250;2;3;3.6;2013-12-19 15:00:00;40
0.2;"Averse(s) de pluie";8.90000000000003;99770;260;25;1;4.1;2013-12-19 12:00:00;75
0.6;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";8.30000000000001;99680;230;1;1;4.1;2013-12-19 09:00:00;10
2;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";8.80000000000001;99460;210;1;3;4.1;2013-12-19 06:00:00;40
5;"Pluie, sans congélation, intermittente, faible au moment de l’observation";9.30000000000001;99300;210;60;6;7.7;2013-12-19 03:00:00;100
1;"Pluie, sans congélation, continue, faible au moment de l’observation";9.90000000000003;99390;200;61;6;7.7;2013-12-19 00:00:00;100
0;"État du ciel inchangé dans l’ensemble";9.60000000000002;99770;190;2;6;6.7;2013-12-18 21:00:00;100
0;"État du ciel inchangé dans l’ensemble";8.80000000000001;100210;190;2;8;3.6;2013-12-18 18:00:00;75
0;"État du ciel inchangé dans l’ensemble";9.70000000000005;100500;200;2;6;4.6;2013-12-18 15:00:00;90
0;"État du ciel inchangé dans l’ensemble";8.90000000000003;100820;180;2;8;2.1;2013-12-18 12:00:00;100
0;"État du ciel inchangé dans l’ensemble";7.60000000000002;101050;210;2;0;3.1;2013-12-18 09:00:00;90
0;"État du ciel inchangé dans l’ensemble";7.60000000000002;101030;210;2;7;2.6;2013-12-18 06:00:00;100
0;"État du ciel inchangé dans l’ensemble";8.40000000000003;101070;210;2;5;3.1;2013-12-18 03:00:00;100
0;"État du ciel inchangé dans l’ensemble";9.10000000000002;101070;220;2;6;4.1;2013-12-18 00:00:00;100
0;"État du ciel inchangé dans l’ensemble";8.80000000000001;101120;200;2;6;3.1;2013-12-17 21:00:00;100
0;"État du ciel inchangé dans l’ensemble";8;101170;180;2;7;2.1;2013-12-17 18:00:00;100
0;"État du ciel inchangé dans l’ensemble";8.80000000000001;101220;170;2;6;3.1;2013-12-17 15:00:00;100
0;"État du ciel inchangé dans l’ensemble";9.70000000000005;101350;190;2;8;2.1;2013-12-17 12:00:00;75
0;"État du ciel inchangé dans l’ensemble";4.5;101470;180;2;2;1.5;2013-12-17 09:00:00;60
0;"État du ciel inchangé dans l’ensemble";2.70000000000005;101320;190;2;0;3.6;2013-12-17 06:00:00;25
0;"État du ciel inchangé dans l’ensemble";3.70000000000005;101310;200;2;6;3.1;2013-12-17 03:00:00;0
0;"État du ciel inchangé dans l’ensemble";4.5;101350;170;2;6;2.6;2013-12-17 00:00:00;0
0;"État du ciel inchangé dans l’ensemble";5.70000000000005;101370;160;2;8;1;2013-12-16 21:00:00;0
0;"État du ciel inchangé dans l’ensemble";7.5;101440;200;2;1;2.6;2013-12-16 18:00:00;0
0;"État du ciel inchangé dans l’ensemble";10.1;101390;190;2;6;4.1;2013-12-16 15:00:00;40
0;"État du ciel inchangé dans l’ensemble";4.5;101510;180;2;6;2.1;2013-12-16 09:00:00;40
0;"État du ciel inchangé dans l’ensemble";2.10000000000002;101520;180;2;6;2.1;2013-12-16 06:00:00;10
0;"On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution";2.40000000000003;101630;190;0;8;3.1;2013-12-16 03:00:00;NA
0;"État du ciel inchangé dans l’ensemble";4.5;101670;200;2;5;4.1;2013-12-16 00:00:00;0
0;"État du ciel inchangé dans l’ensemble";5.90000000000003;101750;200;2;0;4.6;2013-12-15 21:00:00;0
0;"État du ciel inchangé dans l’ensemble";6.10000000000002;101710;210;2;5;4.1;2013-12-15 18:00:00;10
0;"État du ciel inchangé dans l’ensemble";9.30000000000001;101710;210;2;6;5.7;2013-12-15 15:00:00;10
0;"État du ciel inchangé dans l’ensemble";9.20000000000005;101800;190;2;8;4.6;2013-12-15 12:00:00;40
0;"État du ciel inchangé dans l’ensemble";5.10000000000002;101930;190;2;1;2.1;2013-12-15 09:00:00;75
0;"État du ciel inchangé dans l’ensemble";4.70000000000005;101810;180;2;7;2.6;2013-12-15 06:00:00;60
0;"État du ciel inchangé dans l’ensemble";4.5;101860;180;2;8;4.1;2013-12-15 03:00:00;60
0;"État du ciel inchangé dans l’ensemble";5.20000000000005;101880;190;2;6;5.1;2013-12-15 00:00:00;100
0;"État du ciel inchangé dans l’ensemble";5.20000000000005;102020;180;2;8;5.7;2013-12-14 21:00:00;100
0;"État du ciel inchangé dans l’ensemble";5.60000000000002;102070;200;2;1;4.6;2013-12-14 18:00:00;100
0;"État du ciel inchangé dans l’ensemble";6.5;102040;190;2;6;4.1;2013-12-14 15:00:00;90
0;"État du ciel inchangé dans l’ensemble";8.60000000000002;102100;280;2;1;2.6;2013-12-14 12:00:00;10
0;"État du ciel inchangé dans l’ensemble";4.40000000000003;102000;260;2;1;3.6;2013-12-14 09:00:00;40
0;"Nuages en formation ou en train de se développer";3.5;101790;240;3;3;3.1;2013-12-14 06:00:00;25
1;"Brume";5.20000000000005;101580;230;10;2;3.1;2013-12-14 03:00:00;90
1;"Pluie, sans congélation, intermittente, faible au moment de l’observation";5.80000000000001;101450;250;60;3;3.6;2013-12-14 00:00:00;100
0.2;"Pluie, sans congélation, intermittente, faible au moment de l’observation";4.60000000000002;101320;220;60;2;2.6;2013-12-13 21:00:00;100
0;"Brume";3.5;101270;190;10;2;1.5;2013-12-13 18:00:00;90
0;"Brouillard ou brouillard glacé, ciel invisible, a débuté ou est devenu plus épais au cours del'heure précédente";3.30000000000001;101260;190;47;6;2.1;2013-12-13 15:00:00;101
0;"État du ciel inchangé dans l’ensemble";3.10000000000002;101350;180;2;8;2.1;2013-12-13 12:00:00;75
0;"Brume";-1;101470;200;10;3;1.5;2013-12-13 09:00:00;10
0;"Brume";-2.69999999999999;101440;0;10;6;0;2013-12-13 06:00:00;0
0;"Brume";-2.39999999999998;101500;180;10;6;1.5;2013-12-13 03:00:00;0
0;"Brume";-1.39999999999998;101640;150;10;8;1;2013-12-13 00:00:00;0
0;"Brume";-0.799999999999955;101660;180;10;0;1;2013-12-12 21:00:00;NA
0;"État du ciel inchangé dans l’ensemble";2;101660;230;2;6;1;2013-12-12 18:00:00;25
0;"État du ciel inchangé dans l’ensemble";3.60000000000002;101710;180;2;6;1;2013-12-12 15:00:00;75
0;"État du ciel inchangé dans l’ensemble";2;101840;160;2;8;1.5;2013-12-12 12:00:00;90
0;"État du ciel inchangé dans l’ensemble";-2;101870;180;2;3;0.5;2013-12-12 09:00:00;60
0;"Mince couche de brouillard ou de brouillard glacé à la station, qu’il s’agisse d’une station terrestre ou d’une station en mer, d’une épaisseur n’excédant pas 2 mètres sur terre ou 10 mètres en mer";-4.19999999999999;101850;160;11;6;1;2013-12-12 06:00:00;50
0;"Brouillard ou brouillard glacé à distance au moment de";-5;101900;0;40;7;0;2013-12-12 03:00:00;40
0;"Brouillard ou brouillard glacé à distance au moment de";-3.59999999999997;101930;90;40;2;0.5;2013-12-12 00:00:00;10
0;"État du ciel inchangé dans l’ensemble";-2.09999999999997;101910;240;2;7;0.5;2013-12-11 21:00:00;0
0;"État du ciel inchangé dans l’ensemble";-0.199999999999989;101940;110;2;0;1.5;2013-12-11 18:00:00;10
0;"État du ciel inchangé dans l’ensemble";4.90000000000003;101940;70;2;6;1;2013-12-11 15:00:00;0
0;"État du ciel inchangé dans l’ensemble";4.20000000000005;102020;120;2;8;1;2013-12-11 12:00:00;0
0;"État du ciel inchangé dans l’ensemble";-0.599999999999966;102140;110;2;3;1;2013-12-11 09:00:00;0
0;"Mince couche de brouillard ou de brouillard glacé à la station, qu’il s’agisse d’une station terrestre ou d’une station en mer, d’une épaisseur n’excédant pas 2 mètres sur terre ou 10 mètres en mer";-3;102110;0;12;7;0;2013-12-11 06:00:00;0
0;"Mince couche de brouillard ou de brouillard glacé à la station, qu’il s’agisse d’une station terrestre ou d’une station en mer, d’une épaisseur n’excédant pas 2 mètres sur terre ou 10 mètres en mer";-4.89999999999998;102150;0;12;7;0;2013-12-11 03:00:00;0
0;"Mince couche de brouillard ou de brouillard glacé à la station, qu’il s’agisse d’une station terrestre ou d’une station en mer, d’une épaisseur n’excédant pas 2 mètres sur terre ou 10 mètres en mer";-2.69999999999999;102230;60;11;8;0.5;2013-12-11 00:00:00;0
0;"État du ciel inchangé dans l’ensemble";0.600000000000023;102260;130;2;0;0.5;2013-12-10 21:00:00;0
0;"État du ciel inchangé dans l’ensemble";1.10000000000002;102260;100;2;1;0.5;2013-12-10 18:00:00;0
0;"État du ciel inchangé dans l’ensemble";7.30000000000001;102240;100;2;6;1.5;2013-12-10 15:00:00;0
0;"Nuages en formation ou en train de se développer";5.10000000000002;102270;140;3;0;1.5;2013-12-10 12:00:00;10
0;"Brouillard ou brouillard glacé";-2.09999999999997;102280;0;28;3;0;2013-12-10 09:00:00;0
0;"Brouillard ou brouillard glacé en bancs";-4.09999999999997;102190;0;41;2;0;2013-12-10 06:00:00;40
0;"Mince couche de brouillard ou de brouillard glacé à la station, qu’il s’agisse d’une station terrestre ou d’une station en mer, d’une épaisseur n’excédant pas 2 mètres sur terre ou 10 mètres en mer";-4.09999999999997;102180;0;12;7;0;2013-12-10 03:00:00;0
0;"Mince couche de brouillard ou de brouillard glacé à la station, qu’il s’agisse d’une station terrestre ou d’une station en mer, d’une épaisseur n’excédant pas 2 mètres sur terre ou 10 mètres en mer";-3.09999999999997;102190;70;11;1;0.5;2013-12-10 00:00:00;0
0;"État du ciel inchangé dans l’ensemble";0.400000000000034;102150;0;2;0;0;2013-12-09 21:00:00;0
0;"État du ciel inchangé dans l’ensemble";2.60000000000002;102120;110;2;3;1;2013-12-09 18:00:00;50
0;"État du ciel inchangé dans l’ensemble";6.60000000000002;102060;90;2;5;1;2013-12-09 15:00:00;60
0;"État du ciel inchangé dans l’ensemble";6;102110;230;2;8;1;2013-12-09 12:00:00;60
0;"État du ciel inchangé dans l’ensemble";1.10000000000002;102150;0;2;3;0;2013-12-09 09:00:00;60
0;"Mince couche de brouillard ou de brouillard glacé à la station, qu’il s’agisse d’une station terrestre ou d’une station en mer, d’une épaisseur n’excédant pas 2 mètres sur terre ou 10 mètres en mer";-2.09999999999997;102020;270;11;5;1;2013-12-09 06:00:00;40
0;"Brouillard ou brouillard glacé à distance au moment de";-1.09999999999997;102040;160;40;6;0.5;2013-12-09 03:00:00;40
0;"État du ciel inchangé dans l’ensemble";1.5;102000;350;2;1;0.5;2013-12-08 21:00:00;50
0;"État du ciel inchangé dans l’ensemble";5.40000000000003;101880;0;2;8;0;2013-12-08 18:00:00;0
0;"État du ciel inchangé dans l’ensemble";9.60000000000002;101900;200;2;8;2.6;2013-12-08 15:00:00;10
0;"État du ciel inchangé dans l’ensemble";8.90000000000003;101930;190;2;0;2.1;2013-12-08 12:00:00;10
0;"État du ciel inchangé dans l’ensemble";5.30000000000001;101910;180;2;3;2.1;2013-12-08 09:00:00;90
0;"État du ciel inchangé dans l’ensemble";4.80000000000001;101820;220;2;3;1;2013-12-08 06:00:00;90
0;"État du ciel inchangé dans l’ensemble";5.60000000000002;101780;220;2;8;1.5;2013-12-08 03:00:00;90
0;"État du ciel inchangé dans l’ensemble";6.10000000000002;101830;240;2;8;2.6;2013-12-08 00:00:00;90
0;"État du ciel inchangé dans l’ensemble";6.30000000000001;101850;250;2;3;3.1;2013-12-07 21:00:00;90
0;"État du ciel inchangé dans l’ensemble";6.70000000000005;101810;220;2;0;1.5;2013-12-07 18:00:00;90
0;"État du ciel inchangé dans l’ensemble";7.5;101800;250;2;6;2.6;2013-12-07 15:00:00;90
0;"Dans l’ensemble, nuages se dissipant ou devenant moins épais";6.70000000000005;101910;230;1;8;4.1;2013-12-07 12:00:00;60
0.2;"Pluie (ne se congelant pas)";5.70000000000005;101980;240;21;3;4.1;2013-12-07 09:00:00;90
0;"Pluie, sans congélation, intermittente, faible au moment de l’observation";5;101960;250;60;5;4.1;2013-12-07 06:00:00;100
0;"État du ciel inchangé dans l’ensemble";4.70000000000005;101980;240;2;8;1.5;2013-12-07 03:00:00;100
0;"État du ciel inchangé dans l’ensemble";4.30000000000001;102050;240;2;8;1.5;2013-12-07 00:00:00;90
0;"État du ciel inchangé dans l’ensemble";2.80000000000001;102070;250;2;3;1.5;2013-12-06 21:00:00;90
0;"État du ciel inchangé dans l’ensemble";5;102010;310;2;1;2.1;2013-12-06 18:00:00;75
0;"État du ciel inchangé dans l’ensemble";7.5;101890;310;2;2;6.2;2013-12-06 15:00:00;50
0;"État du ciel inchangé dans l’ensemble";7.70000000000005;101880;330;2;0;5.1;2013-12-06 12:00:00;60
0;"État du ciel inchangé dans l’ensemble";6.40000000000003;101830;310;2;3;1.5;2013-12-06 09:00:00;25
0;"Nuages en formation ou en train de se développer";6.20000000000005;101640;320;3;3;2.6;2013-12-06 06:00:00;50
0;"État du ciel inchangé dans l’ensemble";6.90000000000003;101510;270;2;3;4.1;2013-12-06 03:00:00;90
0;"Pluie (ne se congelant pas)";7.90000000000003;101480;280;21;2;4.6;2013-12-06 00:00:00;90
0;"État du ciel inchangé dans l’ensemble";7.5;101360;250;2;8;5.1;2013-12-05 21:00:00;90
0;"État du ciel inchangé dans l’ensemble";6.80000000000001;101410;260;2;8;6.7;2013-12-05 18:00:00;90
0;"État du ciel inchangé dans l’ensemble";7.10000000000002;101460;250;2;7;5.1;2013-12-05 15:00:00;60
0;"État du ciel inchangé dans l’ensemble";7.80000000000001;101760;290;2;8;6.2;2013-12-05 12:00:00;60
0;"État du ciel inchangé dans l’ensemble";6;101910;260;2;8;3.1;2013-12-05 09:00:00;60
0;"Nuages en formation ou en train de se développer";6.30000000000001;101980;330;3;8;2.6;2013-12-05 06:00:00;100
0;"Nuages en formation ou en train de se développer";6.40000000000003;102010;40;3;8;1.5;2013-12-05 03:00:00;100
0.2;"Brume";6.80000000000001;102100;360;10;0;2.1;2013-12-05 00:00:00;100
0;"État du ciel inchangé dans l’ensemble";6.60000000000002;102070;270;2;3;1;2013-12-04 21:00:00;100
0;"État du ciel inchangé dans l’ensemble";6.60000000000002;102040;240;2;1;2.1;2013-12-04 18:00:00;90
0;"État du ciel inchangé dans l’ensemble";7.60000000000002;101940;240;2;3;2.6;2013-12-04 15:00:00;90
0;"État du ciel inchangé dans l’ensemble";7.10000000000002;101930;250;2;8;2.6;2013-12-04 12:00:00;100
0;"État du ciel inchangé dans l’ensemble";4.20000000000005;101940;0;2;3;0;2013-12-04 09:00:00;100
0;"État du ciel inchangé dans l’ensemble";2.40000000000003;101800;0;2;5;0;2013-12-04 06:00:00;100
0;"État du ciel inchangé dans l’ensemble";0.100000000000023;101800;0;2;3;0;2013-12-04 03:00:00;90
0;"État du ciel inchangé dans l’ensemble";-0.899999999999977;101790;0;2;8;0;2013-12-04 00:00:00;0
0;"État du ciel inchangé dans l’ensemble";0.400000000000034;101800;280;2;3;1.5;2013-12-03 21:00:00;50
0;"État du ciel inchangé dans l’ensemble";2.80000000000001;101790;0;2;3;0;2013-12-03 18:00:00;50
0;"État du ciel inchangé dans l’ensemble";7.30000000000001;101760;0;2;5;0;2013-12-03 15:00:00;60
0;"État du ciel inchangé dans l’ensemble";6.90000000000003;101820;0;2;8;0;2013-12-03 12:00:00;40
0;"État du ciel inchangé dans l’ensemble";1.40000000000003;101890;0;2;2;0;2013-12-03 09:00:00;40
0;"Mince couche de brouillard ou de brouillard glacé à la station, qu’il s’agisse d’une station terrestre ou d’une station en mer, d’une épaisseur n’excédant pas 2 mètres sur terre ou 10 mètres en mer";-1.09999999999997;101840;0;12;5;0;2013-12-03 06:00:00;0
0;"État du ciel inchangé dans l’ensemble";-1.19999999999999;101840;0;2;6;0;2013-12-03 03:00:00;0
0;"État du ciel inchangé dans l’ensemble";1.80000000000001;101850;0;2;3;0;2013-12-03 00:00:00;0
0;"État du ciel inchangé dans l’ensemble";3.30000000000001;101840;50;2;5;1.5;2013-12-02 21:00:00;25
0;"État du ciel inchangé dans l’ensemble";4.10000000000002;101840;40;2;3;2.1;2013-12-02 18:00:00;25
0;"État du ciel inchangé dans l’ensemble";7.60000000000002;101800;60;2;6;4.1;2013-12-02 15:00:00;50
0;"État du ciel inchangé dans l’ensemble";7.80000000000001;101900;70;2;8;5.1;2013-12-02 12:00:00;90
0;"État du ciel inchangé dans l’ensemble";7.70000000000005;102000;40;2;3;4.6;2013-12-02 09:00:00;0
